English,French,German,Arabic,Chinese
Federal officials say 20 have been charged for threatening election workers,"""Des responsables fédéraux déclarent que 20 personnes ont été inculpées pour avoir menacé des travailleurs électoraux.""","""Bundesbeamte sagen, dass 20 Personen wegen Bedrohung von Wahlhelfern angeklagt wurden.""",يقول المسؤولون الفيدراليون إنه تم توجيه اتهامات لـ 20 شخصًا بتهديد موظفي الانتخابات.,联邦官员称已有20人因威胁选举工作人员被起诉。
"With push from Trump, Republicans plan blitz of election-related lawsuits","""Encouragés par Trump, les Républicains prévoient une offensive de poursuites judiciaires liées aux élections""","""Mit Unterstützung von Trump planen die Republikaner eine Klagewelle im Zusammenhang mit den Wahlen.""","""بدعم من ترامب، الجمهوريون يخططون لحملة من الدعاوى القضائية المتعلقة بالانتخابات""",在特朗普的推动下，共和党计划发起一系列与选举相关的诉讼。
Former Milwaukee election official convicted of absentee ballot fraud,"""Un ancien responsable électoral de Milwaukee condamné pour fraude aux bulletins de vote par correspondance""","""Ehemaliger Wahlbeamter aus Milwaukee wegen Briefwahlbetrugs verurteilt""","""إدانة مسؤول انتخابي سابق في ميلووكي بتهمة تزوير بطاقات الاقتراع الغيابية""",“前密尔沃基选举官员因缺席选票欺诈被定罪”
Pro-Trump disruptions in Arizona county elevate fears for the 2024 vote,"""Les perturbations pro-Trump dans un comté de l'Arizona alimentent les craintes pour le vote de 2024""","""Pro-Trump-Störungen in einem Bezirk in Arizona schüren Ängste vor der Wahl 2024""",اضطرابات مؤيدي ترامب في مقاطعة أريزونا تثير المخاوف بشأن تصويت 2024,“亚利桑那州县亲特朗普的干扰加剧了对2024年投票的担忧”
Some college students find it harder to vote under new Republican laws,"""Certains étudiants trouvent plus difficile de voter en raison des nouvelles lois républicaines""","""Einige College-Studenten finden es schwieriger, unter neuen republikanischen Gesetzen zu wählen.""","""بعض طلاب الجامعات يجدون صعوبة أكبر في التصويت بموجب القوانين الجمهورية الجديدة""",一些大学生发现新共和党法律下投票更困难
Election 2024 latest news: Republicans seek revenge for Trump conviction in hush money case,"""Élection 2024 dernières nouvelles : Les républicains cherchent à se venger de la condamnation de Trump dans l'affaire des paiements dissimulés""","""Wahlen 2024 neueste Nachrichten: Republikaner suchen Rache für Trumps Verurteilung im Schweigegeldfall""","""آخر أخبار انتخابات 2024: الجمهوريون يسعون للانتقام من إدانة ترامب في قضية الأموال السرية""","""2024年选举最新消息：共和党寻求为特朗普在封口费案中的定罪复仇"""
Trump falsely claims he never called for Hillary Clinton to be locked up,"""Trump affirme à tort qu'il n'a jamais demandé qu'Hillary Clinton soit emprisonnée""","""Trump behauptet fälschlicherweise, er habe nie gefordert, Hillary Clinton einzusperren.""","""ترامب يزعم زوراً أنه لم يطالب أبداً بسجن هيلاري كلينتون""",特朗普虚假声称他从未要求希拉里·克林顿被关押。
President Biden issues statement as Hunter faces felony gun charges in historic first,"""Le président Biden publie une déclaration alors que Hunter fait face à des accusations criminelles pour possession d'arme à feu, une première historique""","""Präsident Biden gibt Erklärung ab, während Hunter erstmals wegen schwerer Waffenanklagen angeklagt wird.""","""الرئيس بايدن يصدر بيانًا بينما يواجه هانتر تهمًا جنائية تتعلق بالأسلحة في سابقة تاريخية""",“拜登总统发表声明，亨特面临重罪枪支指控，创历史先例”
Fauci grilled on the science behind forcing 2-year-olds to wear masks,"""Fauci interrogé sur la science derrière l'obligation pour les enfants de 2 ans de porter des masques""","""Fauci wird zur Wissenschaft hinter der Maskenpflicht für Zweijährige befragt""","""فوتشي يتعرض للاستجواب حول العلم وراء إجبار الأطفال بعمر سنتين على ارتداء الكمامات""",福奇被质疑要求2岁儿童戴口罩的科学依据
Tourist hotspot shocks world by changing laws to ban Jews from entering country,"""Une destination touristique choque le monde en changeant ses lois pour interdire l'entrée des Juifs dans le pays""","""Touristen-Hotspot schockiert die Welt, indem er Gesetze ändert, um Juden die Einreise ins Land zu verbieten""","""وجهة سياحية شهيرة تصدم العالم بتغيير القوانين لمنع دخول اليهود إلى البلاد""","""旅游热点震惊世界，修改法律禁止犹太人入境"""
Hotel near Disney gets wake-up call from parents over inappropriate Pride decor,"""Hôtel près de Disney reçoit un avertissement des parents concernant une décoration de la Fierté inappropriée""","""Hotel in der Nähe von Disney erhält Weckruf von Eltern wegen unangemessener Pride-Dekoration""",فندق بالقرب من ديزني يتلقى تنبيهاً من الآباء بسبب زينة الفخر غير المناسبة,“迪士尼附近酒店因不当的骄傲装饰受到家长的警告”
Kathy Griffin still facing consequences for gruesome Trump photo 7 years later,"""Kathy Griffin subit encore les conséquences de la photo macabre de Trump 7 ans plus tard""","""Kathy Griffin sieht sich immer noch Konsequenzen für grausames Trump-Foto 7 Jahre später gegenüber.""","""كاثي غريفين لا تزال تواجه عواقب صورة ترامب المروعة بعد 7 سنوات""",“凯西·格里芬因7年前的特朗普恐怖照片仍面临后果”
"Defendants who do not have a lawyer must be released from jail, court rules","""Les prévenus sans avocat doivent être libérés de prison, selon la décision du tribunal""","""Angeklagte, die keinen Anwalt haben, müssen aus dem Gefängnis entlassen werden, entscheidet das Gericht.""","""المحكمة تقرر: يجب الإفراج عن المتهمين الذين ليس لديهم محامٍ من السجن""",法院裁定：没有律师的被告必须获释出狱
COVID investigators press Fauci on lack of 'scientific' data behind pandemic rules,"""Les enquêteurs sur la COVID pressent Fauci sur le manque de données 'scientifiques' derrière les règles de la pandémie""","""COVID-Ermittler drängen Fauci wegen fehlender 'wissenschaftlicher' Daten hinter Pandemie-Regeln""","محققو كوفيد يضغطون على فاوتشي بشأن نقص البيانات ""العلمية"" وراء قواعد الجائحة",“新冠调查人员向福奇施压，质疑疫情规定背后的‘科学’数据不足”
Presidential historian warns second Trump term would lead to ‘dictatorship and anarchy’,"""Un historien présidentiel avertit qu'un second mandat de Trump conduirait à une ‘dictature et à l'anarchie’""","""Präsidentschaftshistoriker warnt, dass eine zweite Amtszeit von Trump zu ‚Diktatur und Anarchie‘ führen würde.""","المؤرخ الرئاسي يحذر من أن فترة رئاسية ثانية لترامب ستؤدي إلى ""ديكتاتورية وفوضى""",总统历史学家警告称，特朗普第二个任期将导致“独裁和无政府状态”
Netanyahu says Biden presented 'incomplete' version of Gaza cease-fire,"Netanyahu affirme que Biden a présenté une version ""incomplète"" du cessez-le-feu à Gaza.","""Netanjahu sagt, Biden habe eine 'unvollständige' Version des Gaza-Waffenstillstands präsentiert.""","نتنياهو يقول إن بايدن قدم نسخة ""غير مكتملة"" من وقف إطلاق النار في غزة",内塔尼亚胡称拜登提出的加沙停火方案“不完整”
"House Democrat announces severe health diagnosis, says she's 'undergoing treatment'","""Démocrate de la Chambre annonce un diagnostic de santé sévère, dit qu'elle 'suit un traitement'""","""Demokratische Abgeordnete des Repräsentantenhauses gibt schwere Gesundheitsdiagnose bekannt und sagt, sie befinde sich 'in Behandlung'""","""نائبة ديمقراطية تعلن عن تشخيص صحي خطير وتقول إنها 'تخضع للعلاج'""","""众议院民主党议员宣布严重健康诊断，称她正在接受治疗"""
Biden uses billions of dollars of your money to buy himself votes,"""Biden utilise des milliards de dollars de votre argent pour s'acheter des voix""","""Biden verwendet Milliarden von Dollar Ihres Geldes, um sich Stimmen zu kaufen.""","""بايدن يستخدم مليارات الدولارات من أموالك لشراء الأصوات لنفسه""",拜登用数十亿美元的纳税人资金为自己拉票
Trump vows to take action against generals pushing 'wokeness',"""Trump promet de prendre des mesures contre les généraux qui poussent à la 'wokeness'""","""Trump schwört, gegen Generäle vorzugehen, die 'Wokeness' vorantreiben""","""ترامب يتعهد باتخاذ إجراءات ضد الجنرالات الذين يدفعون بـ'اليقظة'""",特朗普誓言对推动“觉醒”文化的将军采取行动
"Democrats, progressives cheering Trump verdict should be mourning this loss instead","""Les démocrates et les progressistes qui se réjouissent du verdict de Trump devraient plutôt pleurer cette perte.""","""Demokraten und Progressive, die das Trump-Urteil bejubeln, sollten stattdessen diesen Verlust betrauern.""","""الديمقراطيون والتقدميون الذين يحتفلون بحكم ترامب يجب أن يندبوا هذه الخسارة بدلاً من ذلك""",“民主党人和进步人士为特朗普判决欢呼时，应该为这一损失感到哀悼”
Maldives bans Israelis from entering country during war in Gaza,"""Les Maldives interdisent l'entrée des Israéliens dans le pays pendant la guerre à Gaza""","""Malediven verbieten Israelis die Einreise während des Krieges in Gaza""","""جزر المالديف تحظر دخول الإسرائيليين إلى البلاد خلال الحرب في غزة""",“马尔代夫在加沙战争期间禁止以色列人入境”
"Texas GOP leaders react to new chair, sweeping policy proposals for Lone Star State","""Les dirigeants républicains du Texas réagissent au nouveau président et aux propositions politiques radicales pour l'État de l'Étoile Solitaire""","""Führende Republikaner in Texas reagieren auf neuen Vorsitzenden und umfassende politische Vorschläge für den Lone Star State""","""قادة الحزب الجمهوري في تكساس يردون على الرئيس الجديد ومقترحات السياسات الشاملة لولاية لون ستار""","""德州共和党领袖对新主席和德州全面政策提案作出反应"""
Trump guilty verdict reveals split among former GOP presidential primary opponents,"""Le verdict de culpabilité de Trump révèle une division parmi les anciens adversaires des primaires présidentielles républicaines.""","""Urteil gegen Trump offenbart Spaltung unter ehemaligen GOP-Präsidentschaftsvorwahlgegnern""","""إدانة ترامب تكشف عن انقسام بين خصومه السابقين في الانتخابات التمهيدية الرئاسية للحزب الجمهوري""",“特朗普有罪判决揭示前共和党总统初选对手之间的分歧”
"CNN reporter warns Biden's polling as incumbent in presidential primary is historically 'weak, weak, weak'","The headline in French would be: ""Un journaliste de CNN avertit que les sondages de Biden en tant que titulaire dans la primaire présidentielle sont historiquement 'faibles, faibles, faibles'"".","""CNN-Reporter warnt, dass Bidens Umfragewerte als amtierender Präsident in der Vorwahl historisch 'schwach, schwach, schwach' sind.""","مراسل سي إن إن يحذر من أن استطلاعات بايدن كمرشح حالي في الانتخابات التمهيدية الرئاسية ضعيفة تاريخياً ""ضعيفة، ضعيفة، ضعيفة""","""CNN记者警告称，作为现任总统，拜登在总统初选中的民调历史性地‘弱，弱，弱’"""
Trump’s campaign rival decides between voting for him or Biden,Le rival de campagne de Trump hésite entre voter pour lui ou pour Biden.,"""Trumps Wahlkampfgegner entscheidet sich zwischen einer Stimme für ihn oder Biden.""","""منافس حملة ترامب يقرر بين التصويت له أو لبايدن""",特朗普的竞选对手在投票给他还是拜登之间做出决定
Trump-endorsed Brian Jack advances to Georgia GOP primary runoff,"""Brian Jack, soutenu par Trump, accède au second tour de la primaire républicaine en Géorgie""","""Von Trump unterstützter Brian Jack kommt in die Stichwahl der republikanischen Vorwahl in Georgia""","""براين جاك المدعوم من ترامب يتقدم إلى جولة الإعادة في الانتخابات التمهيدية للحزب الجمهوري في جورجيا""",“特朗普支持的布莱恩·杰克晋级佐治亚州共和党初选决胜轮”
Warning signs for Biden Trump as they careen toward presidential debates,"""Signes d'avertissement pour Biden et Trump alors qu'ils se dirigent vers les débats présidentiels""","""Warnzeichen für Biden und Trump, während sie auf die Präsidentschaftsdebatten zusteuern""","""علامات تحذيرية لبايدن وترامب بينما يتجهان نحو المناظرات الرئاسية""",“拜登和特朗普在总统辩论前的警示信号”
Trump denies report claiming Nikki Haley is 'under consideration' for VP role: 'I wish her well!',"""Trump dément un rapport affirmant que Nikki Haley est 'envisagée' pour le rôle de vice-présidente : 'Je lui souhaite bonne chance !'""","""Trump dementiert Bericht, der behauptet, Nikki Haley werde als Vizepräsidentschaftskandidatin 'in Betracht gezogen': 'Ich wünsche ihr alles Gute!'""","""ترامب ينفي تقريرًا يزعم أن نيكي هايلي 'قيد النظر' لدور نائب الرئيس: 'أتمنى لها التوفيق!'""",特朗普否认有关尼基·黑利“正在考虑”担任副总统的报道：“我祝她一切顺利！”
"Nikki Haley to thank donors, but Trump's last GOP rival not expected to endorse former president","""Nikki Haley va remercier les donateurs, mais le dernier rival républicain de Trump ne devrait pas soutenir l'ancien président""","""Nikki Haley will Spendern danken, aber Trumps letzter Rivale in der GOP wird voraussichtlich den ehemaligen Präsidenten nicht unterstützen.""",نيكي هايلي تشكر المانحين، لكن من غير المتوقع أن يدعم آخر منافس جمهوري لترامب الرئيس السابق.,"""尼基·黑利将感谢捐助者，但特朗普最后一位共和党对手预计不会支持前总统"""
Senator's fundraising skill could be winning ticket for Trump's veepstakes,"""L'aptitude du sénateur à lever des fonds pourrait être un atout gagnant pour le choix du colistier de Trump""","""Die Fundraising-Fähigkeiten des Senators könnten das Gewinnerlos für Trumps Vizepräsidentschaftswahl sein.""","""مهارات جمع التبرعات لدى السيناتور قد تكون بطاقة الفوز في سباق نائب ترامب""",参议员的筹款能力可能成为特朗普副总统竞选的制胜法宝
"With DNC nomination set for after Ohio deadline, legislators negotiate to ensure Biden is on ballot","""Alors que la nomination du DNC est fixée après la date limite de l'Ohio, les législateurs négocient pour s'assurer que Biden figure sur le bulletin de vote""","""Da die Nominierung der DNC nach der Frist in Ohio festgelegt wurde, verhandeln die Gesetzgeber, um sicherzustellen, dass Biden auf dem Stimmzettel steht.""","""مع تحديد ترشيح اللجنة الوطنية الديمقراطية بعد الموعد النهائي لأوهايو، يتفاوض المشرعون لضمان وجود بايدن على بطاقة الاقتراع""","""由于民主党全国委员会提名定于俄亥俄州截止日期之后，立法者正在协商以确保拜登在选票上"""
"RFK, Jr denounces 'spoiler' label, rejects Dem party loyalty concerns: 'I'm trying to hurt both' candidates","""RFK Jr dénonce l'étiquette de 'trouble-fête', rejette les préoccupations de loyauté envers le parti démocrate : 'J'essaie de nuire aux deux' candidats""","""RFK Jr. weist das Etikett 'Spielverderber' zurück und lehnt Bedenken zur Parteitreue der Demokraten ab: 'Ich versuche, beiden Kandidaten zu schaden'""","""روبرت كينيدي الابن يرفض وصفه بـ'المفسد' ويعترض على مخاوف الولاء للحزب الديمقراطي: 'أحاول إيذاء كلا المرشحين'""",“小肯尼迪抨击‘搅局者’标签，拒绝民主党忠诚度担忧：‘我想打击两个’候选人”
Locking it up: Biden clinches 2024 Democrat presidential nomination during Tuesday's primaries,"""Verrouillage : Biden décroche la nomination présidentielle démocrate de 2024 lors des primaires de mardi""","""Abgesichert: Biden sichert sich die Präsidentschaftsnominierung der Demokraten 2024 bei den Vorwahlen am Dienstag""","""حسم الأمر: بايدن يفوز بترشيح الحزب الديمقراطي للرئاسة لعام 2024 خلال الانتخابات التمهيدية يوم الثلاثاء""",锁定胜局：拜登在周二的初选中赢得2024年民主党总统候选人提名
"Locking it up: Trump, Biden, expected to clinch GOP, Democrat presidential nominations in Tuesday's primaries","""Verrouillage : Trump et Biden devraient décrocher les nominations présidentielles républicaine et démocrate lors des primaires de mardi""","""Alles klar: Trump und Biden werden voraussichtlich die Nominierungen der Republikaner und Demokraten bei den Vorwahlen am Dienstag sichern.""","""حسم الأمر: من المتوقع أن يفوز ترامب وبايدن بترشيحات الحزب الجمهوري والديمقراطي للرئاسة في الانتخابات التمهيدية يوم الثلاثاء""",锁定提名：特朗普和拜登预计将在周二的初选中赢得共和党和民主党总统提名。
Biden returns to the key battleground state he snubbed in the presidential primaries,"""Biden retourne dans l'État clé qu'il a ignoré lors des primaires présidentielles""","""Biden kehrt in den wichtigen umkämpften Bundesstaat zurück, den er in den Präsidentschaftsvorwahlen gemieden hat.""","""بايدن يعود إلى الولاية الرئيسية في ساحة المعركة التي تجاهلها في الانتخابات التمهيدية الرئاسية""",“拜登重返他在总统初选中忽视的关键战场州”
Dean Phillips ends long-shot primary challenge against Biden for Democratic presidential nomination,"""Dean Phillips met fin à sa candidature improbable contre Biden pour l'investiture présidentielle démocrate""","""Dean Phillips beendet aussichtslose Vorwahl-Herausforderung gegen Biden für die demokratische Präsidentschaftsnominierung""","""دين فيليبس ينهي تحدي الترشيح الرئاسي الديمقراطي ضد بايدن""",“迪恩·菲利普斯结束对拜登的民主党总统提名长期挑战”
"Who is Jason Palmer, the obscure presidential candidate who delivered Biden's first 2024 loss?","""Qui est Jason Palmer, le candidat présidentiel obscur qui a infligé à Biden sa première défaite de 2024 ?""","""Wer ist Jason Palmer, der unbekannte Präsidentschaftskandidat, der Biden seine erste Niederlage 2024 zufügte?""",من هو جيسون بالمر، المرشح الرئاسي الغامض الذي ألحق أول خسارة لبايدن في عام 2024؟,“谁是杰森·帕尔默，这位让拜登在2024年首次失利的默默无闻的总统候选人？”
Super Tuesday boosting Trump closer to clinching GOP nomination as Haley makes possible last stand,"""Le Super Tuesday rapproche Trump de l'investiture républicaine alors que Haley pourrait faire son dernier baroud""","""Super Tuesday bringt Trump näher an die Sicherung der GOP-Nominierung, während Haley möglicherweise ihren letzten Stand macht.""","""الثلاثاء الكبير يدفع ترامب نحو الاقتراب من الفوز بترشيح الحزب الجمهوري بينما تقوم هايلي بمحاولة أخيرة محتملة""","""超级星期二助推特朗普更接近赢得共和党提名，海莉可能迎来最后一搏"""
"Democratic presidential candidate announces campaign layoffs, vows to remain in race: 'Really tough day'","""Candidat démocrate à la présidentielle annonce des licenciements dans sa campagne, promet de rester dans la course : 'Journée vraiment difficile'""","""Demokratischer Präsidentschaftskandidat kündigt Entlassungen im Wahlkampf an, schwört im Rennen zu bleiben: 'Ein wirklich harter Tag'""","مرشح الحزب الديمقراطي للرئاسة يعلن عن تسريح في الحملة، ويتعهد بالبقاء في السباق: ""يوم صعب حقًا""",民主党总统候选人宣布竞选裁员，誓言继续参选：“真是艰难的一天”
"Trump world, Democrats unite in trolling Nikki Haley after loss to 'literally no one' in Nevada primary","""Le monde de Trump et les démocrates s'unissent pour se moquer de Nikki Haley après sa défaite face à 'littéralement personne' lors de la primaire du Nevada""","""Trump-Welt und Demokraten vereinen sich, um Nikki Haley nach der Niederlage gegen 'buchstäblich niemanden' in der Vorwahl in Nevada zu verspotten.""","""عالم ترامب والديمقراطيون يتحدون في السخرية من نيكي هايلي بعد خسارتها أمام 'لا أحد حرفيًا' في الانتخابات التمهيدية في نيفادا""",特朗普阵营和民主党人在内华达州初选中“输给‘字面意义上的没有人’”后联合嘲讽尼基·黑利。
"Biden and Haley are on the ballot, but not Trump, as Nevada holds presidential primaries","""Biden et Haley sont sur le bulletin de vote, mais pas Trump, alors que le Nevada organise des primaires présidentielles""","""Biden und Haley stehen auf dem Stimmzettel, aber nicht Trump, während Nevada Präsidentschaftsvorwahlen abhält.""","""بايدن وهايلي على بطاقة الاقتراع، لكن ليس ترامب، بينما تجري نيفادا الانتخابات التمهيدية الرئاسية""",“拜登和黑利在选票上，但特朗普不在，内华达州举行总统初选”
Biden likes his odds in Vegas after a South Carolina landslide as he moves toward likely Trump rematch,"""Biden apprécie ses chances à Vegas après un raz-de-marée en Caroline du Sud alors qu'il se dirige vers une probable revanche contre Trump""","""Biden mag seine Chancen in Vegas nach einem Erdrutschsieg in South Carolina, während er sich auf ein wahrscheinliches Wiederaufeinandertreffen mit Trump zubewegt.""","""بايدن يحب فرصه في فيغاس بعد فوزه الساحق في كارولينا الجنوبية بينما يتجه نحو مواجهة محتملة مع ترامب""",拜登在南卡罗来纳州大胜后，对在拉斯维加斯的胜算感到乐观，准备迎接与特朗普的可能重赛。
DNC chair Harrison message to Nikki Haley: South Carolina Democrats are ‘not bailing you out’,"""Le président du DNC, Harrison, adresse un message à Nikki Haley : les démocrates de Caroline du Sud ne vont pas vous sauver.""","""DNC-Vorsitzender Harrison an Nikki Haley: Die Demokraten in South Carolina werden Sie nicht retten.""","رئيس اللجنة الوطنية الديمقراطية هاريسون يوجه رسالة إلى نيكي هايلي: الديمقراطيون في ساوث كارولينا ""لن ينقذوك"".",民主党全国委员会主席哈里森对尼基·黑利的信息：南卡罗来纳州的民主党人“不会帮你解围”
South Carolina Democrats expected to once again boost Biden as they kick off party's primary calendar,"""Les démocrates de Caroline du Sud devraient à nouveau soutenir Biden alors qu'ils lancent le calendrier des primaires du parti""","""Es wird erwartet, dass die Demokraten in South Carolina Biden erneut unterstützen, während sie den Vorwahlkalender der Partei eröffnen.""",من المتوقع أن يدعم ديمقراطيو ساوث كارولينا بايدن مرة أخرى مع بدء جدول الانتخابات التمهيدية للحزب.,"""南卡罗来纳州民主党预计将再次支持拜登，开启党内初选日程"""
Biden aims to solidify support with Black voters as he seeks re-election to White House,"""Biden vise à renforcer le soutien des électeurs noirs alors qu'il cherche à se faire réélire à la Maison-Blanche""","""Biden will die Unterstützung der schwarzen Wähler festigen, während er eine Wiederwahl ins Weiße Haus anstrebt.""","""بايدن يسعى لتعزيز الدعم من الناخبين السود بينما يسعى لإعادة انتخابه في البيت الأبيض""",拜登寻求连任白宫，旨在巩固黑人选民的支持。
"Biden tops Trump in new poll, but lead shrinks against third-party candidates","""Biden devance Trump dans un nouveau sondage, mais son avance diminue face aux candidats de tiers partis""","""Biden liegt in neuer Umfrage vor Trump, aber Vorsprung schrumpft gegenüber Drittparteikandidaten.""","""بايدن يتفوق على ترامب في استطلاع جديد، لكن تقدمه يتقلص أمام مرشحي الأحزاب الثالثة""",拜登在最新民调中领先特朗普，但对第三方候选人的领先优势缩小。
Lack of enthusiasm for Biden among New Hampshire Dems could spell trouble for his reelection bid: strategists,"""Le manque d'enthousiasme pour Biden parmi les démocrates du New Hampshire pourrait poser problème pour sa candidature à la réélection : stratèges""","""Fehlende Begeisterung für Biden unter den Demokraten in New Hampshire könnte seine Wiederwahl gefährden: Strategen""","""قلة الحماس تجاه بايدن بين الديمقراطيين في نيو هامبشاير قد تعني مشاكل لحملته لإعادة الانتخاب: استراتيجيون""",“新罕布什尔州民主党对拜登缺乏热情可能对其连任竞选构成麻烦：策略师”
Biden wins New Hampshire Democrat primary after write-in campaign,"""Biden remporte la primaire démocrate du New Hampshire après une campagne d'écriture""","""Biden gewinnt die Vorwahl der Demokraten in New Hampshire nach einer Kampagne mit handschriftlichen Stimmen.""","""بايدن يفوز في الانتخابات التمهيدية للحزب الديمقراطي في نيو هامبشاير بعد حملة كتابة الأسماء""",“拜登在补选活动后赢得新罕布什尔州民主党初选”
Dean Phillips says he's 'resisting the delusional DNC' by primary challenging 'unelectable' Biden,"""Dean Phillips dit qu'il 'résiste au DNC délirant' en contestant aux primaires le 'inéligible' Biden""","""Dean Phillips sagt, er 'widersetzt sich dem illusionären DNC', indem er den 'nicht wählbaren' Biden in der Vorwahl herausfordert.""","""دين فيليبس يقول إنه 'يقاوم اللجنة الوطنية الديمقراطية الوهمية' من خلال تحدي بايدن 'غير القابل للانتخاب' في الانتخابات التمهيدية""",迪恩·菲利普斯表示，他通过在初选中挑战“无法当选”的拜登来“抵制妄想的民主党全国委员会”
New Hampshire primary could send Biden a message he doesn't want to hear,"""La primaire du New Hampshire pourrait envoyer à Biden un message qu'il ne veut pas entendre""","""Die Vorwahl in New Hampshire könnte Biden eine Botschaft senden, die er nicht hören möchte.""","""الانتخابات التمهيدية في نيو هامبشاير قد توجه لبايدن رسالة لا يريد سماعها""","""新罕布什尔州初选可能会向拜登传递他不想听到的信息"""
Biden challenger Dean Phillips says Dems quashing primary process is 'just as dangerous as the insurrection',"The translation of the headline into French is:  
""Dean Phillips, adversaire de Biden, déclare que l'étouffement du processus des primaires par les démocrates est 'tout aussi dangereux que l'insurrection'""","""Biden-Herausforderer Dean Phillips sagt, dass das Unterdrücken des Vorwahlprozesses durch die Demokraten 'genauso gefährlich wie der Aufstand' ist.""","المنافس لبايدن، دين فيليبس، يقول إن قمع الديمقراطيين لعملية الانتخابات التمهيدية ""خطير تمامًا مثل التمرد"".",拜登挑战者迪恩·菲利普斯称民主党压制初选过程“和叛乱一样危险”
Biden challenger Dean Phillips faces FEC complaint lodged by left-wing group,"""Le challenger de Biden, Dean Phillips, fait face à une plainte déposée par un groupe de gauche auprès de la FEC""",„Biden-Herausforderer Dean Phillips sieht sich FEC-Beschwerde von linker Gruppe gegenüber.“,"""منافس بايدن دين فيليبس يواجه شكوى لدى لجنة الانتخابات الفيدرالية مقدمة من مجموعة يسارية""",“拜登挑战者迪恩·菲利普斯面临左翼团体提出的联邦选举委员会投诉”
"Biden trolls DeSantis, Haley, Trump with giant billboards ahead of fourth GOP presidential debate","""Biden taquine DeSantis, Haley, Trump avec des panneaux d'affichage géants avant le quatrième débat présidentiel républicain""","""Biden neckt DeSantis, Haley, Trump mit riesigen Plakatwänden vor der vierten GOP-Präsidentschaftsdebatte""",بايدن يسخر من دي سانتيس وهايلي وترامب بلوحات إعلانية ضخمة قبل المناظرة الرئاسية الرابعة للحزب الجمهوري,拜登在第四次共和党总统辩论前用巨型广告牌嘲讽德桑蒂斯、黑利和特朗普。
Dean Phillips says it will be 'game on' with Biden if he can pull off a 'surprise' showing in first primary,"""Dean Phillips déclare que ce sera 'le début du jeu' avec Biden s'il parvient à réaliser une 'surprise' lors de la première primaire.""","""Dean Phillips sagt, es werde 'ernst' mit Biden, wenn ihm ein 'überraschender' Auftritt in der ersten Vorwahl gelingt.""","""دين فيليبس يقول إنه سيكون 'اللعب مستمراً' مع بايدن إذا تمكن من تحقيق 'مفاجأة' في أول انتخابات تمهيدية""","""迪恩·菲利普斯表示，如果他能在首场初选中取得‘惊喜’表现，他将与拜登展开‘较量’"""
"New Hampshire holds to tradition, thumbs its nose at President Biden","""Le New Hampshire reste fidèle à la tradition et défie le président Biden""","""New Hampshire hält an Tradition fest und zeigt Präsident Biden die kalte Schulter""","""نيوهامبشاير تتمسك بالتقاليد وتتحدى الرئيس بايدن""",“新罕布什尔州坚持传统，对拜登总统不屑一顾”
More 2024 headaches for Biden as list of potential presidential challengers grows,"""Encore des maux de tête pour Biden en 2024 alors que la liste des challengers potentiels à la présidence s'allonge""","""Mehr Kopfschmerzen für Biden im Jahr 2024, da die Liste potenzieller Präsidentschaftsherausforderer wächst""","""صداع جديد لبايدن في عام 2024 مع تزايد قائمة المنافسين المحتملين للرئاسة""",“随着潜在总统挑战者名单的增加，拜登在2024年的麻烦加剧”
Trump guilty verdict reveals split among former GOP presidential primary opponents,"""Le verdict de culpabilité de Trump révèle une division parmi les anciens adversaires des primaires présidentielles républicaines.""","""Urteil gegen Trump offenbart Spaltung unter ehemaligen GOP-Präsidentschaftsvorwahlgegnern""","""إدانة ترامب تكشف عن انقسام بين خصومه السابقين في الانتخابات التمهيدية الرئاسية للحزب الجمهوري""",“特朗普有罪判决揭示前共和党总统初选对手之间的分歧”
"Nikki Haley to thank donors, but Trump's last GOP rival not expected to endorse former president","""Nikki Haley va remercier les donateurs, mais le dernier rival républicain de Trump ne devrait pas soutenir l'ancien président.""","""Nikki Haley wird sich bei den Spendern bedanken, aber Trumps letzter Rivale in der GOP wird voraussichtlich den ehemaligen Präsidenten nicht unterstützen.""",نيكي هايلي تشكر المانحين، لكن من غير المتوقع أن يدعم آخر منافس جمهوري لترامب الرئيس السابق.,"""尼基·黑利将感谢捐赠者，但特朗普最后一位共和党对手预计不会支持前总统"""
Pence blasts Trump's 'slap in the face' announcement on key issue for Christian voters,"""Pence critique l'annonce de Trump, qualifiée de 'gifle', sur une question clé pour les électeurs chrétiens""","""Pence kritisiert Trumps 'Ohrfeige' Ankündigung zu einem wichtigen Thema für christliche Wähler""","بنس ينتقد إعلان ترامب ""الصفعة على الوجه"" بشأن قضية رئيسية للناخبين المسيحيين",彭斯抨击特朗普在基督教选民关键问题上的“打脸”声明
Top Trump VP prospect plans summer wedding weeks after GOP convention,"""Le principal candidat à la vice-présidence de Trump prévoit un mariage d'été quelques semaines après la convention républicaine""","""Top-Vizepräsidentschaftskandidat von Trump plant Sommerhochzeit wenige Wochen nach dem GOP-Parteitag""","""المرشح الأبرز لمنصب نائب الرئيس لدى ترامب يخطط لحفل زفاف في الصيف بعد أسابيع من مؤتمر الحزب الجمهوري""",“特朗普副总统热门人选计划在共和党大会后数周举行夏季婚礼”
